2019/1/16 星期三 18:41:12	正在初始化...已完成

2019/1/16 星期三 18:41:12	链接12306服务器速度:642毫秒[差]

2019/1/16 星期三 18:41:12	您的VIP已过期,已恢复为免费用户,续期请重新注册

2019/1/16 星期三 18:41:13	[多日期]每多一个日期将多查询一次，频率过快，容易被限制，不建议设置多个日期，如非要设置，请尽量少的添加！

2019/1/16 星期三 18:41:13	获取到:1345个CDN,开始智能测速中...

2019/1/16 星期三 18:41:50	查询完毕,本次查询共用时:1849毫秒

2019/1/16 星期三 18:41:53	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/16 星期三 18:46:02	开始预订G1010次列车车票...

2019/1/16 星期三 18:46:02	[极速]线程启动完成,开始解析算法...

2019/1/16 星期三 18:46:02	[任务1]算法解析完成,开始申请订单...

2019/1/16 星期三 18:46:02	[任务2]实时余票为(1)张,继续提交...

2019/1/16 星期三 18:46:02	[任务4]当前无需验证码,开始提交订单...

2019/1/16 星期三 18:46:02	[任务5]快速出票安全期,等待2948ms

2019/1/16 星期三 18:46:06	[提交成功]等待处理,本次用时:4.63秒

2019/1/16 星期三 18:46:08	[获取结果]12306:没有足够的票!

2019/1/16 星期三 18:46:08	[返回无票]该数据为缓存,将G1010车次放入小黑屋60秒...

2019/1/16 星期三 18:46:08	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/16 星期三 18:47:21	开始预订G1010次列车车票...

2019/1/16 星期三 18:47:21	[极速]线程启动完成,开始解析算法...

2019/1/16 星期三 18:47:21	[任务1]算法解析完成,开始申请订单...

2019/1/16 星期三 18:47:22	[任务2]实时余票为(1)张,继续提交...

2019/1/16 星期三 18:47:22	[任务4]当前无需验证码,开始提交订单...

2019/1/16 星期三 18:47:22	[任务5]快速出票安全期,等待3680ms

2019/1/16 星期三 18:47:27	[提交成功]等待处理,本次用时:5.40秒

2019/1/16 星期三 18:47:29	[获取结果]12306:没有足够的票!

2019/1/16 星期三 18:47:29	[返回无票]该数据为缓存,将G1010车次放入小黑屋60秒...

2019/1/16 星期三 18:47:29	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/16 星期三 18:48:43	开始预订G1010次列车车票...

2019/1/16 星期三 18:48:43	[极速]线程启动完成,开始解析算法...

2019/1/16 星期三 18:48:43	[任务1]算法解析完成,开始申请订单...

2019/1/16 星期三 18:48:46	[任务2]实时余票为(1)张,继续提交...

2019/1/16 星期三 18:48:46	[任务4]当前无需验证码,开始提交订单...

2019/1/16 星期三 18:48:46	[任务5]快速出票安全期,等待1418ms

2019/1/16 星期三 18:48:48	[任务5]排队人数现已超过余票数，请您选择其他席别或车次。

2019/1/16 星期三 18:48:48	[返回无票]该数据为缓存,将G1010车次放入小黑屋60秒...

2019/1/16 星期三 18:48:48	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/16 星期三 18:48:59	开始预订G1004次列车车票...

2019/1/16 星期三 18:48:59	[极速]线程启动完成,开始解析算法...

2019/1/16 星期三 18:48:59	[任务1]算法解析完成,开始申请订单...

2019/1/16 星期三 18:49:00	[任务2]目前排队人数已经超过余票张数

2019/1/16 星期三 18:49:00	[返回无票]该数据为缓存,将G1004车次放入小黑屋60秒...

2019/1/16 星期三 18:49:00	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/16 星期三 18:50:15	开始预订G1004次列车车票...

2019/1/16 星期三 18:50:15	[极速]线程启动完成,开始解析算法...

2019/1/16 星期三 18:50:15	[任务1]算法解析完成,开始申请订单...

2019/1/16 星期三 18:50:16	[任务2]目前排队人数已经超过余票张数

2019/1/16 星期三 18:50:16	[返回无票]该数据为缓存,将G1004车次放入小黑屋60秒...

2019/1/16 星期三 18:50:16	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/16 星期三 18:50:19	开始预订G1010次列车车票...

2019/1/16 星期三 18:50:19	[极速]线程启动完成,开始解析算法...

