2019/1/17 星期四 13:56:20	正在初始化...已完成

2019/1/17 星期四 13:56:21	链接12306服务器速度:442毫秒[良]

2019/1/17 星期四 13:56:21	您的VIP已过期,已恢复为免费用户,续期请重新注册

2019/1/17 星期四 13:56:21	[多日期]每多一个日期将多查询一次，频率过快，容易被限制，不建议设置多个日期，如非要设置，请尽量少的添加！

2019/1/17 星期四 13:56:22	获取到:1331个CDN,开始智能测速中...

2019/1/17 星期四 13:58:05	查询完毕,本次查询共用时:2308毫秒

2019/1/17 星期四 13:58:19	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/17 星期四 13:59:34	开始预订K4386次列车车票...

2019/1/17 星期四 13:59:35	[极速]线程启动完成,开始解析算法...

2019/1/17 星期四 13:59:35	[任务1]算法解析完成,开始申请订单...

2019/1/17 星期四 13:59:35	[任务2]目前排队人数已经超过余票张数

2019/1/17 星期四 13:59:35	[返回无票]该数据为缓存,将K4386车次放入小黑屋60秒...

2019/1/17 星期四 13:59:35	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/17 星期四 14:01:28	链接12306服务器速度:203毫秒[优]

2019/1/17 星期四 14:02:22	链接12306服务器速度:246毫秒[优]

2019/1/17 星期四 14:03:11	开始预订G1022次列车车票...

2019/1/17 星期四 14:03:11	[极速]线程启动完成,开始解析算法...

2019/1/17 星期四 14:03:11	[任务1]算法解析完成,开始申请订单...

2019/1/17 星期四 14:03:12	[任务2]目前排队人数已经超过余票张数

2019/1/17 星期四 14:03:12	[返回无票]该数据为缓存,将G1022车次放入小黑屋60秒...

2019/1/17 星期四 14:03:12	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/17 星期四 14:03:35	开始预订K4386次列车车票...

2019/1/17 星期四 14:03:35	[极速]线程启动完成,开始解析算法...

2019/1/17 星期四 14:03:35	[任务1]算法解析完成,开始申请订单...

2019/1/17 星期四 14:03:35	[任务2]目前排队人数已经超过余票张数

2019/1/17 星期四 14:03:35	[返回无票]该数据为缓存,将K4386车次放入小黑屋60秒...

2019/1/17 星期四 14:03:35	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/17 星期四 14:05:13	开始预订K4386次列车车票...

2019/1/17 星期四 14:05:13	[极速]线程启动完成,开始解析算法...

2019/1/17 星期四 14:05:13	[任务1]算法解析完成,开始申请订单...

2019/1/17 星期四 14:05:14	[任务2]目前排队人数已经超过余票张数

2019/1/17 星期四 14:05:14	[返回无票]该数据为缓存,将K4386车次放入小黑屋60秒...

2019/1/17 星期四 14:05:14	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/17 星期四 14:05:56	开始预订G1028次列车车票...

2019/1/17 星期四 14:05:56	[极速]线程启动完成,开始解析算法...

2019/1/17 星期四 14:05:56	[任务1]算法解析完成,开始申请订单...

2019/1/17 星期四 14:05:56	[任务2]目前排队人数已经超过余票张数

2019/1/17 星期四 14:05:56	[返回无票]该数据为缓存,将G1028车次放入小黑屋60秒...

2019/1/17 星期四 14:05:56	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/17 星期四 14:08:02	开始预订G1022次列车车票...

2019/1/17 星期四 14:08:02	[极速]线程启动完成,开始解析算法...

2019/1/17 星期四 14:08:02	[任务1]算法解析完成,开始申请订单...

2019/1/17 星期四 14:08:03	[任务2]目前排队人数已经超过余票张数

2019/1/17 星期四 14:08:03	[返回无票]该数据为缓存,将G1022车次放入小黑屋60秒...

2019/1/17 星期四 14:08:03	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/17 星期四 14:09:46	开始预订G1022次列车车票...

2019/1/17 星期四 14:09:46	[极速]线程启动完成,开始解析算法...

2019/1/17 星期四 14:09:46	[任务1]算法解析完成,开始申请订单...

2019/1/17 星期四 14:09:47	[任务2]目前排队人数已经超过余票张数

2019/1/17 星期四 14:09:47	[返回无票]该数据为缓存,将G1022车次放入小黑屋60秒...

2019/1/17 星期四 14:09:47	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/17 星期四 14:10:34	开始预订G1028次列车车票...

2019/1/17 星期四 14:10:34	[极速]线程启动完成,开始解析算法...

2019/1/17 星期四 14:10:34	[任务1]算法解析完成,开始申请订单...

2019/1/17 星期四 14:10:36	[任务2]目前排队人数已经超过余票张数

2019/1/17 星期四 14:10:36	[返回无票]该数据为缓存,将G1028车次放入小黑屋60秒...

2019/1/17 星期四 14:10:36	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/17 星期四 14:13:47	开始预订G1028次列车车票...

2019/1/17 星期四 14:13:47	[极速]线程启动完成,开始解析算法...

2019/1/17 星期四 14:13:47	[任务1]算法解析完成,开始申请订单...

2019/1/17 星期四 14:13:49	[任务2]目前排队人数已经超过余票张数

2019/1/17 星期四 14:13:49	[返回无票]该数据为缓存,将G1028车次放入小黑屋60秒...

2019/1/17 星期四 14:13:49	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/17 星期四 14:16:42	开始预订G1012次列车车票...

2019/1/17 星期四 14:16:42	[极速]线程启动完成,开始解析算法...

2019/1/17 星期四 14:16:42	[任务1]算法解析完成,开始申请订单...

2019/1/17 星期四 14:16:42	[任务2]目前排队人数已经超过余票张数

2019/1/17 星期四 14:16:42	[返回无票]该数据为缓存,将G1012车次放入小黑屋60秒...

2019/1/17 星期四 14:16:42	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/17 星期四 14:16:48	开始预订G1002次列车车票...

2019/1/17 星期四 14:16:48	[极速]线程启动完成,开始解析算法...

2019/1/17 星期四 14:16:48	[任务1]算法解析完成,开始申请订单...

2019/1/17 星期四 14:16:49	[任务2]目前排队人数已经超过余票张数

2019/1/17 星期四 14:16:49	[返回无票]该数据为缓存,将G1002车次放入小黑屋60秒...

2019/1/17 星期四 14:16:49	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/17 星期四 14:17:52	开始预订G1002次列车车票...

2019/1/17 星期四 14:17:52	[极速]线程启动完成,开始解析算法...

2019/1/17 星期四 14:17:52	[任务1]算法解析完成,开始申请订单...

2019/1/17 星期四 14:17:52	[任务2]目前排队人数已经超过余票张数

2019/1/17 星期四 14:17:52	[返回无票]该数据为缓存,将G1002车次放入小黑屋60秒...

2019/1/17 星期四 14:17:52	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/17 星期四 14:18:35	开始预订G1012次列车车票...

2019/1/17 星期四 14:18:35	[极速]线程启动完成,开始解析算法...

2019/1/17 星期四 14:18:35	[任务1]算法解析完成,开始申请订单...

2019/1/17 星期四 14:18:35	[任务2]目前排队人数已经超过余票张数

2019/1/17 星期四 14:18:35	[返回无票]该数据为缓存,将G1012车次放入小黑屋60秒...

2019/1/17 星期四 14:18:35	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/17 星期四 14:18:58	开始预订G1002次列车车票...

2019/1/17 星期四 14:18:58	[极速]线程启动完成,开始解析算法...

2019/1/17 星期四 14:18:58	[任务1]算法解析完成,开始申请订单...

2019/1/17 星期四 14:18:58	[任务2]目前排队人数已经超过余票张数

2019/1/17 星期四 14:18:58	[返回无票]该数据为缓存,将G1002车次放入小黑屋60秒...

2019/1/17 星期四 14:18:58	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/17 星期四 14:19:07	开始预订Z24次列车车票...

2019/1/17 星期四 14:19:07	[极速]线程启动完成,开始解析算法...

2019/1/17 星期四 14:19:07	[任务1]算法解析完成,开始申请订单...

2019/1/17 星期四 14:19:07	[任务2]目前排队人数已经超过余票张数

2019/1/17 星期四 14:19:07	[返回无票]该数据为缓存,将Z24车次放入小黑屋60秒...

2019/1/17 星期四 14:19:07	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/17 星期四 14:19:43	开始预订G1012次列车车票...

2019/1/17 星期四 14:19:43	[极速]线程启动完成,开始解析算法...

2019/1/17 星期四 14:19:43	[任务1]算法解析完成,开始申请订单...

2019/1/17 星期四 14:19:43	[任务2]目前排队人数已经超过余票张数

2019/1/17 星期四 14:19:43	[返回无票]该数据为缓存,将G1012车次放入小黑屋60秒...

2019/1/17 星期四 14:19:43	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/17 星期四 14:20:01	开始预订G1002次列车车票...

2019/1/17 星期四 14:20:01	[极速]线程启动完成,开始解析算法...

2019/1/17 星期四 14:20:01	[任务1]算法解析完成,开始申请订单...

2019/1/17 星期四 14:20:01	[任务2]目前排队人数已经超过余票张数

2019/1/17 星期四 14:20:01	[返回无票]该数据为缓存,将G1002车次放入小黑屋120秒...

2019/1/17 星期四 14:20:02	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/17 星期四 14:20:21	开始预订G1014次列车车票...

2019/1/17 星期四 14:20:21	[极速]线程启动完成,开始解析算法...

2019/1/17 星期四 14:20:21	[任务1]算法解析完成,开始申请订单...

2019/1/17 星期四 14:20:22	[任务2]目前排队人数已经超过余票张数

2019/1/17 星期四 14:20:22	[返回无票]该数据为缓存,将G1014车次放入小黑屋60秒...

2019/1/17 星期四 14:20:22	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/17 星期四 14:20:50	开始预订G1012次列车车票...

2019/1/17 星期四 14:20:50	[极速]线程启动完成,开始解析算法...

2019/1/17 星期四 14:20:50	[任务1]算法解析完成,开始申请订单...

2019/1/17 星期四 14:20:51	[任务2]目前排队人数已经超过余票张数

2019/1/17 星期四 14:20:51	[返回无票]该数据为缓存,将G1012车次放入小黑屋120秒...

2019/1/17 星期四 14:20:51	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/17 星期四 14:21:37	开始预订Z24次列车车票...

