2019/1/18 星期五 11:35:46	正在初始化...已完成

2019/1/18 星期五 11:35:47	链接12306服务器速度:617毫秒[差]

2019/1/18 星期五 11:35:47	您的VIP已过期,已恢复为免费用户,续期请重新注册

2019/1/18 星期五 11:35:47	[多日期]每多一个日期将多查询一次，频率过快，容易被限制，不建议设置多个日期，如非要设置，请尽量少的添加！

2019/1/18 星期五 11:35:48	获取到:1328个CDN,开始智能测速中...

2019/1/18 星期五 11:35:56	开始查询2019-02-02;2019-02-03;2019-01-31车次，间隔：默认

2019/1/18 星期五 11:36:20	开始预订K4176次列车车票...

2019/1/18 星期五 11:36:20	[极速]线程启动完成,开始解析算法...

2019/1/18 星期五 11:36:20	[任务1]算法解析完成,开始申请订单...

2019/1/18 星期五 11:36:21	[任务2]目前排队人数已经超过余票张数

2019/1/18 星期五 11:36:21	[返回无票]该数据为缓存,将K4176车次放入小黑屋60秒...

2019/1/18 星期五 11:36:21	开始查询2019-02-02;2019-02-03;2019-01-31车次，间隔：默认

2019/1/18 星期五 11:36:46	开始预订G1028次列车车票...

2019/1/18 星期五 11:36:46	[极速]线程启动完成,开始解析算法...

2019/1/18 星期五 11:36:46	[任务1]算法解析完成,开始申请订单...

2019/1/18 星期五 11:36:47	[任务2]目前排队人数已经超过余票张数

2019/1/18 星期五 11:36:47	[返回无票]该数据为缓存,将G1028车次放入小黑屋60秒...

2019/1/18 星期五 11:36:47	开始查询2019-02-02;2019-02-03;2019-01-31车次，间隔：默认

2019/1/18 星期五 11:37:46	开始预订K4176次列车车票...

2019/1/18 星期五 11:37:46	[极速]线程启动完成,开始解析算法...

2019/1/18 星期五 11:37:46	[任务1]算法解析完成,开始申请订单...

2019/1/18 星期五 11:37:47	[任务2]目前排队人数已经超过余票张数

2019/1/18 星期五 11:37:47	[返回无票]该数据为缓存,将K4176车次放入小黑屋60秒...

2019/1/18 星期五 11:37:47	开始查询2019-02-02;2019-02-03;2019-01-31车次，间隔：默认

2019/1/18 星期五 11:38:30	开始预订G1028次列车车票...

2019/1/18 星期五 11:38:30	[极速]线程启动完成,开始解析算法...

2019/1/18 星期五 11:38:30	[任务1]算法解析完成,开始申请订单...

2019/1/18 星期五 11:38:30	[任务2]目前排队人数已经超过余票张数

2019/1/18 星期五 11:38:30	[返回无票]该数据为缓存,将G1028车次放入小黑屋60秒...

2019/1/18 星期五 11:38:30	开始查询2019-02-02;2019-02-03;2019-01-31车次，间隔：默认

2019/1/18 星期五 11:39:30	开始预订K4176次列车车票...

2019/1/18 星期五 11:39:30	[极速]线程启动完成,开始解析算法...

2019/1/18 星期五 11:39:30	[任务1]算法解析完成,开始申请订单...

2019/1/18 星期五 11:39:30	[任务2]目前排队人数已经超过余票张数

2019/1/18 星期五 11:39:30	[返回无票]该数据为缓存,将K4176车次放入小黑屋60秒...

2019/1/18 星期五 11:39:30	开始查询2019-02-02;2019-02-03;2019-01-31车次，间隔：默认

2019/1/18 星期五 11:39:46	开始预订G1028次列车车票...

2019/1/18 星期五 11:39:46	[极速]线程启动完成,开始解析算法...

2019/1/18 星期五 11:39:46	[任务1]算法解析完成,开始申请订单...

2019/1/18 星期五 11:39:47	[任务2]目前排队人数已经超过余票张数

2019/1/18 星期五 11:39:47	[返回无票]该数据为缓存,将G1028车次放入小黑屋60秒...

2019/1/18 星期五 11:39:47	开始查询2019-02-02;2019-02-03;2019-01-31车次，间隔：默认

2019/1/18 星期五 11:40:52	链接12306服务器速度:398毫秒[良]

2019/1/18 星期五 11:41:14	开始预订G1028次列车车票...

2019/1/18 星期五 11:41:14	[极速]线程启动完成,开始解析算法...

2019/1/18 星期五 11:41:14	[任务1]算法解析完成,开始申请订单...

2019/1/18 星期五 11:41:14	[任务2]目前排队人数已经超过余票张数

2019/1/18 星期五 11:41:14	[返回无票]该数据为缓存,将G1028车次放入小黑屋60秒...

2019/1/18 星期五 11:41:14	开始查询2019-02-02;2019-02-03;2019-01-31车次，间隔：默认

2019/1/18 星期五 11:41:28	开始预订G1010次列车车票...

2019/1/18 星期五 11:41:28	[极速]线程启动完成,开始解析算法...

2019/1/18 星期五 11:41:28	[任务1]算法解析完成,开始申请订单...

2019/1/18 星期五 11:41:28	[任务2]目前排队人数已经超过余票张数

2019/1/18 星期五 11:41:28	[返回无票]该数据为缓存,将G1010车次放入小黑屋60秒...

