2019/1/20 星期日 12:34:07	正在初始化...已完成

2019/1/20 星期日 12:34:08	链接12306服务器速度:831毫秒[差]

2019/1/20 星期日 12:34:08	您的VIP已过期,已恢复为免费用户,续期请重新注册

2019/1/20 星期日 12:34:09	[多日期]每多一个日期将多查询一次，频率过快，容易被限制，不建议设置多个日期，如非要设置，请尽量少的添加！

2019/1/20 星期日 12:34:09	获取到:1334个CDN,开始智能测速中...

2019/1/20 星期日 12:34:18	查询完毕,本次查询共用时:2226毫秒

2019/1/20 星期日 12:34:24	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03车次，间隔：默认

2019/1/20 星期日 12:36:40	开始预订G1014次列车车票...

2019/1/20 星期日 12:36:40	[极速]线程启动完成,开始解析算法...

2019/1/20 星期日 12:36:40	[任务1]算法解析完成,开始申请订单...

2019/1/20 星期日 12:36:40	[任务2]目前排队人数已经超过余票张数

2019/1/20 星期日 12:36:41	[返回无票]该数据为缓存,将G1014车次放入小黑屋60秒...

2019/1/20 星期日 12:36:41	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03车次，间隔：默认

2019/1/20 星期日 12:37:11	链接12306服务器速度:642毫秒[差]

2019/1/20 星期日 12:37:44	开始预订G1014次列车车票...

2019/1/20 星期日 12:37:44	[极速]线程启动完成,开始解析算法...

2019/1/20 星期日 12:37:44	[任务1]算法解析完成,开始申请订单...

2019/1/20 星期日 12:37:44	[任务2]目前排队人数已经超过余票张数

2019/1/20 星期日 12:37:44	[返回无票]该数据为缓存,将G1014车次放入小黑屋60秒...

2019/1/20 星期日 12:37:44	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03车次，间隔：默认

2019/1/20 星期日 12:38:58	开始预订G1014次列车车票...

2019/1/20 星期日 12:38:58	[极速]线程启动完成,开始解析算法...

2019/1/20 星期日 12:38:58	[任务1]算法解析完成,开始申请订单...

2019/1/20 星期日 12:38:59	[任务2]目前排队人数已经超过余票张数

2019/1/20 星期日 12:38:59	[返回无票]该数据为缓存,将G1014车次放入小黑屋60秒...

2019/1/20 星期日 12:38:59	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03车次，间隔：默认

2019/1/20 星期日 12:40:33	开始预订G1014次列车车票...

2019/1/20 星期日 12:40:33	[极速]线程启动完成,开始解析算法...

2019/1/20 星期日 12:40:33	[任务1]算法解析完成,开始申请订单...

2019/1/20 星期日 12:40:38	[任务2]目前排队人数已经超过余票张数

2019/1/20 星期日 12:40:38	[返回无票]该数据为缓存,将G1014车次放入小黑屋60秒...

2019/1/20 星期日 12:40:38	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03车次，间隔：默认

2019/1/20 星期日 12:41:57	开始预订G1014次列车车票...

2019/1/20 星期日 12:41:57	[极速]线程启动完成,开始解析算法...

2019/1/20 星期日 12:41:57	[任务1]算法解析完成,开始申请订单...

2019/1/20 星期日 12:41:58	[任务2]目前排队人数已经超过余票张数

2019/1/20 星期日 12:41:58	[返回无票]该数据为缓存,将G1014车次放入小黑屋60秒...

2019/1/20 星期日 12:41:58	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03车次，间隔：默认

2019/1/20 星期日 12:43:38	开始预订G1014次列车车票...

2019/1/20 星期日 12:43:38	[极速]线程启动完成,开始解析算法...

2019/1/20 星期日 12:43:38	[任务1]算法解析完成,开始申请订单...

2019/1/20 星期日 12:43:39	[任务2]目前排队人数已经超过余票张数

2019/1/20 星期日 12:43:39	[返回无票]该数据为缓存,将G1014车次放入小黑屋60秒...

2019/1/20 星期日 12:43:39	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03车次，间隔：默认

2019/1/20 星期日 12:44:10	链接12306服务器速度:239毫秒[优]

2019/1/20 星期日 12:44:51	开始预订G1014次列车车票...

2019/1/20 星期日 12:44:51	[极速]线程启动完成,开始解析算法...

2019/1/20 星期日 12:44:51	[任务1]算法解析完成,开始申请订单...

