2019/1/26 星期六 11:29:17	正在初始化...已完成

2019/1/26 星期六 11:29:18	链接12306服务器速度:318毫秒[良]

2019/1/26 星期六 11:29:18	您的VIP已过期,已恢复为免费用户,续期请重新注册

2019/1/26 星期六 11:29:19	[多日期]多日期为循环查询，每次查询一个日期。日期越多，每个日期再次查询的间隔越久，如需设置，请尽量少的添加！

2019/1/26 星期六 11:29:19	获取到:1344个CDN,开始智能测速中...

2019/1/26 星期六 11:41:16	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03;2019-02-01车次，间隔：默认

2019/1/26 星期六 11:41:40	开始预订G76次列车车票...

2019/1/26 星期六 11:41:40	[极速]线程启动完成,开始解析算法...

2019/1/26 星期六 11:41:40	[任务1]算法解析完成,开始申请订单...

2019/1/26 星期六 11:41:41	[任务2]目前排队人数已经超过余票张数

2019/1/26 星期六 11:41:41	[返回无票]该数据为缓存,将G76车次放入小黑屋60秒...

2019/1/26 星期六 11:41:41	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03;2019-02-01车次，间隔：默认

2019/1/26 星期六 11:43:10	开始预订G74次列车车票...

2019/1/26 星期六 11:43:10	[极速]线程启动完成,开始解析算法...

2019/1/26 星期六 11:43:10	[任务1]算法解析完成,开始申请订单...

2019/1/26 星期六 11:43:11	[任务2]目前排队人数已经超过余票张数

2019/1/26 星期六 11:43:11	[返回无票]该数据为缓存,将G74车次放入小黑屋60秒...

2019/1/26 星期六 11:43:11	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03;2019-02-01车次，间隔：默认

2019/1/26 星期六 11:43:34	开始预订G554次列车车票...

2019/1/26 星期六 11:43:34	[极速]线程启动完成,开始解析算法...

2019/1/26 星期六 11:43:34	[任务1]算法解析完成,开始申请订单...

2019/1/26 星期六 11:43:34	[任务2]目前排队人数已经超过余票张数

2019/1/26 星期六 11:43:34	[返回无票]该数据为缓存,将G554车次放入小黑屋60秒...

2019/1/26 星期六 11:43:34	开始查询2019-02-02;2019-01-30;2019-01-31;2019-02-03;2019-02-01车次，间隔：默认

2019/1/26 星期六 11:43:41	开始预订G1004次列车车票...

2019/1/26 星期六 11:43:41	[极速]线程启动完成,开始解析算法...

2019/1/26 星期六 11:43:41	[任务1]算法解析完成,开始申请订单...

