2019/8/20 星期二 12:14:11	正在从[1]号服务器获取时间...

2019/8/20 星期二 12:14:11	[服务器-1]：2019/8/20 星期二 12:13:22

2019/8/20 星期二 12:14:11	[本地时间]：2019/8/20 星期二 12:14:11

2019/8/20 星期二 12:13:22	[设置完毕]已同步时间

2019/8/20 星期二 12:13:46	正在初始化...已完成

2019/8/20 星期二 12:13:47	链接12306服务器速度:645毫秒[差]

2019/8/20 星期二 12:13:48	您的VIP已过期,已恢复为免费用户,续期请重新注册

2019/8/20 星期二 12:13:48	获取到:731个CDN,开始智能测速中...

2019/8/20 星期二 12:14:43	查询完毕,本次查询共用时:1009毫秒

2019/8/20 星期二 12:14:49	链接12306服务器速度:227毫秒[优]

2019/8/20 星期二 12:15:06	开始查询2019-08-25车次，间隔：默认

2019/8/20 星期二 12:51:13	结束车票查询

2019/8/20 星期二 12:51:14	正在配置免登录...

2019/8/20 星期二 12:51:18	配置完毕,已打开IE浏览器

2019/8/20 星期二 12:51:45	开始查询2019-08-25车次，间隔：默认

2019/8/20 星期二 16:01:28	结束车票查询

2019/8/20 星期二 16:03:09	开始查询2019-08-25车次，间隔：默认

2019/8/20 星期二 16:08:18	该用户已在其他地点登录或被踢出，正在重新登录...

2019/8/20 星期二 16:09:23	[检查状态]检测到下线,已成功登录

2019/8/20 星期二 17:06:46	正在初始化...已完成

2019/8/20 星期二 17:06:47	链接12306服务器速度:311毫秒[良]

2019/8/20 星期二 17:06:47	您的VIP已过期,已恢复为免费用户,续期请重新注册

2019/8/20 星期二 17:06:48	获取到:731个CDN,开始智能测速中...

2019/8/20 星期二 17:11:58	查询完毕,本次查询共用时:5243毫秒

2019/8/20 星期二 17:12:10	查询完毕,本次查询共用时:333毫秒

2019/8/20 星期二 17:12:19	开始查询2019-08-25车次，间隔：默认

2019/8/20 星期二 17:12:49	链接12306服务器速度:240毫秒[优]

2019/8/20 星期二 18:30:11	开始预订G825车次的车票...

2019/8/20 星期二 18:30:11	[极速]线程启动完成,开始解析算法...

2019/8/20 星期二 18:30:11	[任务1]算法解析完成,开始申请订单...

2019/8/20 星期二 18:30:11	[任务2]目前排队人数已经超过余票张数

2019/8/20 星期二 18:30:11	[小黑屋]该数据为缓存,将G825车次(O)放入小黑屋60秒...

2019/8/20 星期二 18:30:12	开始查询2019-08-25车次，间隔：默认

2019/8/20 星期二 18:31:23	开始预订G825车次的车票...

2019/8/20 星期二 18:31:23	[极速]线程启动完成,开始解析算法...

2019/8/20 星期二 18:31:23	[任务1]算法解析完成,开始申请订单...

2019/8/20 星期二 18:31:23	[任务2]目前排队人数已经超过余票张数

2019/8/20 星期二 18:31:23	[小黑屋]该数据为缓存,将G825车次(O)放入小黑屋60秒...

2019/8/20 星期二 18:31:24	开始查询2019-08-25车次，间隔：默认

2019/8/20 星期二 18:35:08	开始预订G825车次的车票...

2019/8/20 星期二 18:35:08	[极速]线程启动完成,开始解析算法...

2019/8/20 星期二 18:35:08	[任务1]算法解析完成,开始申请订单...

2019/8/20 星期二 18:35:09	[任务2]目前排队人数已经超过余票张数

2019/8/20 星期二 18:35:09	[小黑屋]该数据为缓存,将G825车次(O)放入小黑屋60秒...

2019/8/20 星期二 18:35:09	开始查询2019-08-25车次，间隔：默认

2019/8/20 星期二 18:41:19	开始预订G825车次的车票...

2019/8/20 星期二 18:41:19	[极速]线程启动完成,开始解析算法...

2019/8/20 星期二 18:41:19	[任务1]算法解析完成,开始申请订单...

2019/8/20 星期二 18:41:21	[任务2]目前排队人数已经超过余票张数

2019/8/20 星期二 18:41:21	[小黑屋]该数据为缓存,将G825车次(O)放入小黑屋60秒...

2019/8/20 星期二 18:41:21	开始查询2019-08-25车次，间隔：默认

2019/8/20 星期二 18:42:48	开始预订G825车次的车票...

2019/8/20 星期二 18:42:48	[极速]线程启动完成,开始解析算法...

2019/8/20 星期二 18:42:48	[任务1]算法解析完成,开始申请订单...

2019/8/20 星期二 18:42:48	[任务2]目前排队人数已经超过余票张数

2019/8/20 星期二 18:42:48	[小黑屋]该数据为缓存,将G825车次(O)放入小黑屋60秒...

2019/8/20 星期二 18:42:48	开始查询2019-08-25车次，间隔：默认

2019/8/20 星期二 18:44:20	开始预订G825车次的车票...

2019/8/20 星期二 18:44:20	[极速]线程启动完成,开始解析算法...

2019/8/20 星期二 18:44:20	[任务1]算法解析完成,开始申请订单...

2019/8/20 星期二 18:44:20	[任务2]目前排队人数已经超过余票张数

2019/8/20 星期二 18:44:20	[小黑屋]该数据为缓存,将G825车次(O)放入小黑屋60秒...

2019/8/20 星期二 18:44:20	开始查询2019-08-25车次，间隔：默认

2019/8/20 星期二 18:46:37	开始预订G825车次的车票...

2019/8/20 星期二 18:46:37	[极速]线程启动完成,开始解析算法...

2019/8/20 星期二 18:46:37	[任务1]算法解析完成,开始申请订单...

2019/8/20 星期二 18:46:38	[任务2]目前排队人数已经超过余票张数

2019/8/20 星期二 18:46:38	[小黑屋]该数据为缓存,将G825车次(O)放入小黑屋60秒...

2019/8/20 星期二 18:46:38	开始查询2019-08-25车次，间隔：默认

2019/8/20 星期二 18:48:27	开始预订G825车次的车票...

2019/8/20 星期二 18:48:27	[极速]线程启动完成,开始解析算法...

2019/8/20 星期二 18:48:27	[任务1]算法解析完成,开始申请订单...

2019/8/20 星期二 18:48:28	[任务2]目前排队人数已经超过余票张数

